week,id,buys_price,buys_quantity,sells_price,sells_quantity
41,48908,3532.0,1323.0,4898.0,251.0
41,48909,3308.0,1018.0,5150.0,196.0
41,2201,119.0,647.0,699.0,124.0
41,48907,573.0,17988.0,796.0,5653.0
41,2202,174.0,472.0,245.0,209.0
41,2203,0.0,0.0,104.0,357.666666667
41,38589,0.0,0.0,233.0,1220.0
41,38588,0.0,0.0,233.0,623.0
41,2204,125.0,182.0,223.0,210.0
41,38581,1498.0,328.0,2690.0,1313.0
41,38580,1254.0,1578.0,2553.0,1084.0
41,30752,66.0,545.0,2713.0,72.0
41,30753,55.0,49.0,526.0,86.0
41,30750,0.0,0.0,599.0,167.0
41,30751,86.0,56.0,1797.0,123.0
41,30756,14.0,1789.0,50.0,851.0
41,30757,16.0,2695.0,90.0,315.0
41,30754,0.0,0.0,250.0,193.0
41,30755,176.0,272.0,2576.0,192.0
41,30759,12.0,543.0,167.0,1007.0
41,83271,71196.0,14.0,94999.0,34.0
41,83274,1306.0,987.0,2381.0,1489.0
41,24717,257.0,255.0,374.0,11774.0
41,24716,109.0,259.0,128.0,50471.0
41,24715,17.0,200.0,19.0,15930.0
41,24714,1813.0,1793.0,3200.0,10782.0
41,24713,115.0,91.0,128.0,73735.0
41,24712,0.0,0.0,19.0,37500.0
41,24711,0.0,0.0,255.0,19726.0
41,24710,112.0,67.0,128.0,27468.0
41,24719,87.0,7983.0,486.0,2540.0
41,24718,7.0,523.0,19.0,17290.0
41,70158,149532.0,27.0,172899.0,148.0
41,70152,313159.0,47.0,387999.0,187.0
41,25044,80.0,714.0,260.0,67.0
41,25045,98.0,740.0,160.0,133.0
41,25046,200.0,247.0,300.0,67.0
41,25047,125.0,853.0,300.0,54.0
41,25040,7.0,1.0,190.0,153.0
41,25041,0.0,0.0,188.0,561.0
41,25042,20.0,1325.0,214.0,218.0
41,25043,25.0,213.0,220.0,111.0
41,25048,228.0,358.0,299.0,64.0
41,25049,115.0,1062.0,202.0,89.0
41,27990,99.0,1931.0,149.0,184.0
41,27991,148.0,14.0,160.0,223.0
41,27992,106.0,846.0,145.0,282.0
41,27993,0.0,0.0,215.0,379.0
41,27994,106.0,1174.0,172.0,165.0
41,27995,136.0,772.0,229.0,316.0
41,27996,111.0,1200.0,240.0,146.0
41,27997,151.0,283.0,216.0,395.0
41,27998,112.0,523.0,175.0,128.0
41,27999,0.0,0.0,193.0,429.0
41,28359,0.0,0.0,198.0,442.0
41,28358,116.0,224.0,216.0,175.0
41,28353,0.0,0.0,293.0,394.0
41,28352,118.0,466.0,271.0,204.0
41,28351,0.0,0.0,195.0,371.0
41,28350,125.0,1170.0,338.0,180.0
41,28357,0.0,0.0,233.0,14431.0
41,28356,97.0,452.0,247.0,158.0
41,28355,0.0,0.0,223.0,22375.0
41,28354,116.0,548.0,399.0,113.0
41,26029,118.0,203.0,167.0,299.0
41,26028,118.0,774.0,182.0,249.0
41,26027,127.0,1153.0,186.0,249.0
41,26026,117.0,801.0,152.0,152.0
41,26025,112.0,566.0,199.0,165.0
41,26024,112.0,687.0,171.0,138.0
